Customer ID,Total Cutomer,Brand,Age,Average Age,Age Group,Gender,Location,Rating,Average Satisfaction,Customer Satisfaction,Feedback Text,Customer Sentiment,Complaint Tag,Sentiment Score,Review Date,Month and Year,Monthly Satisfaction,High Risk Flag,High Risk Customer,Churn Risk%
CUST1000,1000,Apple,56,39,47-60,Female,Rangpur,5,3,Very Satisfied,Lags frequently,Negative,Slow System,-1,"2 April, 2024",Apr-2024,,0,411,41%
CUST1001,1000,Samsung,46,39,46-55,Male,Khulna,4,3,Satisfied,Amazing camera quality,Positive,General,1,"5 March, 2023",Mar-2023,,0,411,41%
CUST1002,1000,Xiaomi,32,39,26-35,Male,Rangpur,4,3,Satisfied,Excellent battery life,Positive,Battery Problem,1,"17 September, 2023",Sep-2023,,0,411,41%
CUST1003,1000,Oppo,25,39,18-25,Male,Sylhet,5,3,Very Satisfied,Too expensive for features,Negative,Pricing Issue,-1,"12 July, 2023",Jul-2023,,0,411,41%
CUST1004,1000,Oneplus,38,39,36-45,Female,Rajshahi,2,3,Dissatisfied,Affordable and reliable,Positive,General,1,"16 October, 2024",Oct-2024,,1,411,41%
CUST1005,1000,Samsung,56,39,47-60,Male,Chittagong,3,3,Neutral,Great performance under heavy use,Positive,General,1,"7 September, 2024",Sep-2024,,0,410,41%
CUST1006,1000,Xiaomi,36,39,36-45,Male,Sylhet,3,3,Neutral,Great performance under heavy use,Positive,General,1,"10 February, 2024",Feb-2024,,0,410,41%
CUST1007,1000,Oneplus,40,39,36-45,Male,Chittagong,3,3,Neutral,Stylish design,Neutral,General,0,"26 December, 2024",Dec-2024,,0,410,41%
CUST1008,1000,Oneplus,28,39,26-35,Female,Rajshahi,4,3,Satisfied,Too expensive for features,Negative,Pricing Issue,-1,"21 December, 2024",Dec-2024,,0,410,41%
CUST1009,1000,Samsung,28,39,26-35,Other,Khulna,4,3,Satisfied,Amazing camera quality,Positive,General,1,"3 April, 2023",Apr-2023,,0,410,41%
